q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accZ,0
0.2978,-0.4681,0.4945,-0.6689,17.827204,-109.09619,145.62036,191.06544,0.291,0.1005,1
0.292,-0.4693,0.4916,-0.6728,18.678936,-109.80663,144.49863,191.9612,0.289,0.1152,1
0.2858,-0.4695,0.4895,-0.6769,20.48909,-110.43416,143.52272,192.91396,0.2758,0.122,1
0.2725,-0.4678,0.4872,-0.6851,21.486172,-111.45306,141.89732,195.07114,0.2529,0.1674,1
0.265,-0.4666,0.4865,-0.6893,22.507578,-111.91456,141.07788,196.44038,0.2358,0.1953,1
0.2572,-0.4652,0.4862,-0.6934,23.55938,-112.311165,140.28821,197.97035,0.206,0.2055,1
0.2489,-0.4639,0.4863,-0.6972,24.561749,-112.630844,139.46158,199.7909,0.1733,0.2021,1
0.2407,-0.4632,0.4865,-0.7004,25.463633,-112.87541,138.58809,201.80971,0.1074,0.163,1
0.2329,-0.4637,0.4866,-0.7027,26.831753,-113.044914,137.60979,204.04482,0.0634,0.122,1
0.2198,-0.4682,0.4862,-0.7042,28.630396,-113.15331,135.46436,208.70804,0.062,0.0761,1
0.2002,-0.4842,0.4842,-0.7006,28.502216,-112.71815,130.93938,217.87358,0.1044,0.0678,1
0.1993,-0.4928,0.4835,-0.6953,28.031967,-112.346,129.58194,220.05634,0.0869,-0.0732,1
0.2021,-0.5002,0.4821,-0.6902,27.289095,-112.19356,128.80087,220.81131,0.1601,-0.1245,1
0.2074,-0.5089,0.4801,-0.6836,25.457764,-112.08375,128.10712,221.1039,0.2919,-0.1494,1
0.2225,-0.5262,0.475,-0.6692,16.194113,-112.05011,127.28019,220.33374,0.6,-0.1225,1
0.3115,-0.5459,0.4554,-0.6304,12.338027,-111.90863,135.5002,199.47224,0.5151,-0.1303,1
0.3453,-0.5367,0.4561,-0.6201,11.114562,-109.8538,141.62233,190.70741,0.5205,0.0024,1
0.3548,-0.5311,0.4573,-0.6187,8.8121395,-109.06486,143.78339,187.97662,0.4731,0.0434,1
0.3698,-0.5159,0.4622,-0.6191,8.201486,-107.373245,148.13158,183.1081,0.392,0.0883,1
0.4348,-0.4196,0.5294,-0.5953,8.911888,-93.176056,175.8678,171.0572,-0.0366,-0.06,1
0.4395,-0.4145,0.5317,-0.5933,9.619092,-92.35638,177.42747,170.30287,0.0175,-0.0581,1
0.4438,-0.4099,0.5345,-0.5909,10.330213,-91.536934,178.95114,169.78242,0.0878,-0.0439,1
0.447,-0.4055,0.5379,-0.5884,11.0893135,-90.759796,180.38722,169.51157,0.1235,-0.038,1
0.4492,-0.4008,0.542,-0.5862,11.85755,-90.00881,181.78938,169.37314,0.1289,-0.0493,1
0.4507,-0.3961,0.5465,-0.584,12.574499,-89.28079,183.15468,169.35693,0.1386,-0.0517,1
0.4516,-0.3918,0.551,-0.582,13.202704,-88.62456,184.3909,169.43,0.122,-0.0673,1
0.4519,-0.388,0.5551,-0.5805,13.698433,-88.084015,185.41978,169.52866,0.1147,-0.0415,1
0.4514,-0.3849,0.5585,-0.5796,14.0463705,-87.70441,186.1555,169.65866,0.0981,-0.041,1
0.4507,-0.3826,0.5609,-0.5794,14.219147,-87.47673,186.61063,169.72794,0.0634,-0.0458,1
0.4501,-0.3813,0.562,-0.5796,14.181813,-87.3926,186.7916,169.7302,0.0224,-0.0468,1
0.4496,-0.3812,0.5616,-0.5804,13.973612,-87.48633,186.63562,169.65126,-0.0263,-0.0195,1
0.449,-0.3822,0.5602,-0.5816,13.705616,-87.725815,186.20096,169.57297,-0.0112,0.0312,1
0.4482,-0.3836,0.5585,-0.5829,12.86465,-88.02207,185.65852,169.52327,0.0361,0.0815,1
0.4451,-0.3885,0.5539,-0.5865,12.800196,-88.9492,183.94832,169.62032,0.1958,0.1962,1
0.4414,-0.3883,0.5539,-0.5894,12.885477,-89.33678,183.30171,169.72937,0.1943,0.2011,1
0.4273,-0.3872,0.5555,-0.599,13.047688,-90.61658,181.14978,170.48833,0.2143,0.1655,1
0.4184,-0.3875,0.5576,-0.6031,13.177871,-91.28924,179.91463,171.46417,0.2104,0.1274,1
0.4102,-0.3889,0.5597,-0.6058,12.96908,-91.8778,178.7141,172.6728,0.1943,0.0976,1
0.3995,-0.3949,0.5608,-0.608,12.675434,-92.84241,176.52399,174.82233,0.1723,0.1259,1
0.3967,-0.3985,0.5598,-0.6084,12.42285,-93.25641,175.57626,175.55438,0.184,0.187,1
0.394,-0.4018,0.5588,-0.609,12.285089,-93.65941,174.66129,176.22159,0.1704,0.2309,1
0.3907,-0.4045,0.5581,-0.61,12.238009,-94.06727,173.73988,176.89586,0.125,0.2124,1
0.3868,-0.4067,0.5573,-0.6117,12.117187,-94.529434,172.74321,177.52237,0.0668,0.1567,1
0.3831,-0.4095,0.5558,-0.6136,11.798959,-95.06479,171.61836,178.12164,0.0209,0.101,1
0.3801,-0.4136,0.553,-0.6152,11.268999,-95.69036,170.32639,178.69792,-0.0009,0.0634,1
0.3777,-0.4193,0.5488,-0.6166,10.1678,-96.43936,168.80164,179.28278,0.0405,0.0625,1
0.3726,-0.4322,0.5382,-0.6201,10.50359,-98.21259,165.30724,180.4174,0.2456,0.1376,1
0.3563,-0.4461,0.5269,-0.6295,10.948981,-100.962036,159.82423,183.04674,0.3232,0.1347,1
0.3499,-0.45,0.5242,-0.6326,11.355223,-101.795715,158.0704,184.19366,0.2968,0.1098,1
0.3442,-0.4541,0.5212,-0.6352,11.682776,-102.58782,156.39879,185.29547,0.2773,0.1083,1
0.3395,-0.4585,0.5179,-0.6373,11.922432,-103.33274,154.83649,186.29689,0.2646,0.0854,1
0.336,-0.4627,0.5141,-0.6391,12.099208,-104.03835,153.45552,187.02005,0.2495,0.0683,1
0.3336,-0.4665,0.51,-0.6409,14.717717,-104.70933,152.27206,187.42891,0.246,0.0356,1
0.3186,-0.481,0.4767,-0.6631,16.631468,-109.901276,145.68837,186.27808,0.2773,0.0908,1
0.3058,-0.483,0.4699,-0.6725,17.477533,-111.61607,143.28157,187.75757,0.3369,0.2119,1
0.2996,-0.4814,0.4696,-0.6766,18.440163,-112.07385,142.65851,188.60944,0.3305,0.2416,1
0.2923,-0.4788,0.4703,-0.6811,19.470482,-112.46833,142.09508,189.72853,0.2802,0.2216,1
0.2842,-0.476,0.4717,-0.6855,20.450428,-112.79833,141.51208,191.19032,0.2133,0.1518,1
0.2762,-0.4736,0.4735,-0.6892,21.347193,-113.031944,140.92523,192.87056,0.143,0.0849,1
0.2686,-0.472,0.4753,-0.6921,22.132324,-113.195854,140.29327,194.69897,0.0927,0.0429,1
0.2617,-0.4713,0.4768,-0.6942,22.819996,-113.312164,139.62018,196.55731,0.0654,0.0249,1
0.2554,-0.4712,0.4782,-0.6956,23.48178,-113.3659,138.938,198.42639,0.0703,0.0493,1
0.2492,-0.4712,0.4799,-0.6967,24.159456,-113.34237,138.2681,200.36179,0.083,0.0795,1
0.2429,-0.4709,0.4818,-0.6978,25.92444,-113.265724,137.63388,202.30089,0.0952,0.1181,1
0.2259,-0.4702,0.4886,-0.6992,26.004158,-112.62752,135.95425,207.83052,-0.0161,-0.0043,1
0.2237,-0.473,0.4905,-0.6968,24.334667,-112.25826,135.362,209.35811,-0.0322,-0.0805,1
0.2333,-0.4918,0.4871,-0.6829,23.498835,-111.86471,133.78552,210.75945,0.2812,-0.103,1
0.2396,-0.4995,0.4836,-0.6775,22.703356,-111.97541,133.37425,210.43332,0.352,-0.1069,1
0.246,-0.5076,0.4797,-0.6719,21.920336,-112.11624,132.91696,210.12311,0.3911,-0.1093,1
0.2528,-0.516,0.4756,-0.6659,21.14119,-112.253716,132.47314,209.75558,0.4208,-0.1108,1
0.2602,-0.5245,0.4713,-0.6595,20.340504,-112.38501,132.09824,209.2372,0.4584,-0.082,1
0.2685,-0.5326,0.4668,-0.6528,19.50916,-112.506874,131.90125,208.38551,0.5024,-0.038,1
0.2779,-0.5398,0.462,-0.6463,16.985725,-112.64396,131.97585,206.99872,0.5483,0.0122,1
0.309,-0.5526,0.4491,-0.6303,16.191328,-112.727295,133.92749,200.37772,0.602,0.0195,1
0.3194,-0.5547,0.4456,-0.6257,15.440884,-112.56944,134.93465,197.89555,0.602,-0.017,1
0.3296,-0.5562,0.4426,-0.6213,14.696498,-112.310455,136.03294,195.4811,0.583,-0.0668,1
0.3399,-0.557,0.44,-0.6168,13.965371,-111.93188,137.27383,193.0763,0.5581,-0.0712,1
0.3501,-0.5571,0.438,-0.6124,9.198356,-111.43674,138.64122,190.75941,0.5341,-0.0537,1
0.3873,-0.5323,0.4461,-0.6061,8.008796,-107.56214,147.69276,180.89189,0.3642,0.0405,1
0.3913,-0.5232,0.4513,-0.6077,6.319012,-106.63564,149.71893,179.46272,0.2973,0.0131,1
0.4393,-0.4331,0.5176,-0.5927,7.0007205,-94.14639,173.83365,171.01794,0.2231,-0.102,1
0.4417,-0.4294,0.5221,-0.5897,7.663604,-93.37237,175.23083,171.12836,0.2158,-0.1274,1
0.4442,-0.4254,0.5255,-0.5877,8.253602,-92.69148,176.50014,170.94077,0.1845,-0.1162,1
0.4465,-0.4214,0.5278,-0.5867,9.40362,-92.13907,177.56073,170.5397,0.1298,-0.0913,1
0.4507,-0.4123,0.5306,-0.5874,9.57715,-91.24041,179.36375,169.16243,0.0781,-0.0551,1
0.451,-0.4107,0.5309,-0.5881,9.659176,-91.152016,179.56255,168.8906,0.0966,-0.0336,1
0.4509,-0.4097,0.5308,-0.5889,9.729499,-91.15043,179.597,168.68167,0.1206,0.0039,1
0.451,-0.4091,0.531,-0.5891,9.807025,-91.109924,179.6836,168.5985,0.2153,0.0908,1
0.4506,-0.4089,0.5323,-0.5884,9.924534,-91.017944,179.84511,168.85011,0.2583,0.1538,1
0.4485,-0.4082,0.5345,-0.5885,10.116872,-91.003784,179.89484,169.26085,0.2993,0.2236,1
0.4437,-0.4065,0.5375,-0.5905,9.456567,-91.16707,179.67453,169.76332,0.29,0.2954,1
0.3865,-0.4342,0.5487,-0.6007,9.219597,-95.66832,169.084,181.54532,0.187,0.1381,1
0.3837,-0.4367,0.545,-0.6041,9.307962,-96.3863,167.80894,181.60129,0.2407,0.0996,1
0.3788,-0.4383,0.5422,-0.6085,9.640175,-97.163086,166.38728,181.8718,0.2607,0.0561,1
0.3724,-0.4398,0.5402,-0.6131,13.675769,-97.957886,164.8411,182.46489,0.2543,0.0258,1
0.3249,-0.5044,0.4685,-0.6483,14.45026,-110.22356,143.22769,189.03383,0.416,0.0791,1
0.3207,-0.5078,0.4634,-0.6514,15.36887,-111.117676,141.87389,189.50752,0.4516,0.1372,1
0.3151,-0.5098,0.4592,-0.6556,16.4215,-112.00721,140.5835,190.14142,0.4599,0.1772,1
0.3079,-0.5106,0.456,-0.6605,17.555784,-112.86807,139.32355,191.11823,0.4316,0.1962,1
0.2994,-0.5103,0.4543,-0.6659,18.740788,-113.624374,138.15604,192.51468,0.4008,0.2031,1
0.2898,-0.509,0.454,-0.6713,19.961588,-114.23561,137.08778,194.35922,0.3413,0.1938,1
0.2795,-0.5067,0.4549,-0.6768,25.662884,-114.69717,136.15445,196.50052,0.2885,0.1694,1
0.2334,-0.5607,0.443,-0.6593,25.318438,-115.28862,122.87606,221.3074,0.6962,-0.0351,1
0.2398,-0.5686,0.4382,-0.6534,25.0617,-115.61193,122.377815,220.67017,0.6884,-0.0444,1
0.2459,-0.5757,0.4334,-0.6482,24.793165,-115.97158,121.96752,219.89455,0.6572,-0.0395,1
0.2524,-0.5819,0.4287,-0.6432,24.44165,-116.33259,121.73586,218.78436,0.6298,-0.0268,1
0.2597,-0.587,0.4245,-0.6384,23.936735,-116.64264,121.7784,217.21973,0.5903,-0.0063,1
0.2681,-0.5907,0.4212,-0.6337,23.309137,-116.83072,122.19209,215.12872,0.5751,-0.0161,1
0.2774,-0.5932,0.4186,-0.6292,22.578663,-116.90149,122.927246,212.61333,0.5395,-0.0541,1
