q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.2237,-0.0668,-0.5773,0.7824,21.354786,-97.824936,166.75568,219.19104,-0.2065,-0.9555,0.4316,-0.535,0.168,0.07,11.099,-9.287,4.664,49
0.7645,-0.4273,0.2587,-0.4073,52.762245,-64.73459,183.62381,145.72836,0.0141,-1.0341,0.3803,0.219,0.209,0.123,4.349,-28.487,6.613,39
0.4882,-0.4963,0.4461,-0.5622,34.491375,-96.44162,167.39456,166.1633,-0.4287,-1.0683,-0.1298,0.78,2.72,-1.552,30.149,30.449,-23.087,31
0.528,-0.439,-0.4574,0.5648,25.911186,-89.13045,181.23447,202.57832,-0.291,-1.3896,0.27,-0.633,-0.01,0.594,-24.437,-17.537,-19.037,46
0.7055,-0.5098,0.3319,-0.3633,7.6727133,-76.053055,188.88881,163.69095,-0.041,-0.9853,0.1787,0.033,0.215,-0.17,11.699,31.199,-11.837,21
0.2955,-0.1506,0.6297,-0.7024,18.625526,-88.83538,195.7454,153.77017,0.0068,-1.5283,0.4814,-0.043,1.141,-0.449,-4.487,-12.437,1.799,38
0.4867,-0.4697,0.4337,-0.5952,37.229256,-96.611626,166.78346,157.12604,0.1186,-1.2636,0.2612,0.586,0.838,-0.174,-14.85,25.649,-4.337,31
0.4463,-0.2861,0.5316,-0.6604,11.126015,-87.232605,188.69743,147.01413,0.082,-1.3129,0.2041,0.069,0.329,-0.123,13.199,-5.987,29.699,24
0.7809,-0.5582,-0.0232,0.2792,11.61468,-68.982185,202.64886,217.14499,-0.229,-0.9711,0.4013,-0.479,0.23,-0.339,-8.516,-14.516,-8.801,15
0.6297,-0.4029,0.4413,-0.4961,8.830705,-75.86709,193.84222,154.35179,-0.2368,-0.6933,0.1074,0.287,-0.133,0.614,31.503,5.895,23.007,4
0.4472,-0.5146,0.4588,-0.5697,7.7359414,-100.20746,160.95465,174.79128,0.103,-1.0307,0.04,-0.065,0.561,-0.533,-2.25,-9.587,29.549,2
0.0544,-0.2012,0.6965,-0.6865,8.802014,-88.87651,156.13156,203.78592,0.2519,-1.3535,-0.2485,0.03,0.072,-0.054,17.099,-4.637,-31.937,10
0.6277,-0.6178,0.2617,-0.3945,9.797591,-92.45736,163.54913,158.94464,-0.1464,-0.7299,0.1142,0.101,-0.198,0.435,18.149,-1.637,25.949,31
0.105,-0.1524,-0.6904,0.6992,21.057037,-91.16239,187.79678,172.53816,-0.1313,-1.0292,0.0957,-0.285,-0.084,-0.693,-32.237,29.263,4.199,40
0.4566,-0.3529,-0.5395,0.613,13.164723,-88.20544,174.11958,200.31647,-0.2006,-1.3515,0.1718,-0.276,0.506,-0.072,-1.129,-32.563,-21.299,22
0.2375,-0.1923,0.617,-0.7251,18.45084,-96.462006,181.39758,166.02748,0.2495,-0.9003,0.1191,-0.283,1.026,-0.282,-9.587,-17.987,9.749,38
0.4969,-0.3595,-0.5912,0.5235,5.7200985,-78.41709,157.08911,189.12428,0.0771,-0.8007,-0.1,0.271,0.0,0.489,-16.635,20.217,5.619,16
0.5064,-0.3687,0.4362,-0.6459,24.517784,-89.0063,177.06593,139.17152,-0.2807,-1.0473,0.4033,-0.18,-0.342,-0.277,-15.173,-28.647,-12.908,4
0.3908,-0.0767,0.623,-0.6732,9.47322,-75.33282,215.13536,136.58708,-0.1767,-0.9008,0.1679,0.164,0.428,0.151,-20.687,-10.937,23.849,33
0.3142,-0.1218,0.6149,-0.7128,5.6389894,-87.29917,199.88759,145.2789,0.1215,-0.9067,0.1884,0.329,2.703,-0.566,-4.65,-12.887,-13.637,33
0.3788,-0.3776,0.5715,-0.6221,18.225676,-93.315216,176.02257,175.16351,-0.0952,-0.642,0.0361,0.196,0.937,-0.266,24.962,-18.997,-29.031,34
0.2391,-0.1824,0.6178,-0.7264,18.61209,-96.035774,182.98167,164.17421,-0.1372,-0.8725,0.1206,0.043,0.827,-0.442,-29.237,-21.137,0.449,38
0.4273,-0.4049,0.3979,-0.7036,7.0623126,-101.76374,160.75873,135.48022,0.373,-0.8754,0.3217,0.415,-0.492,0.142,26.099,-25.187,-12.887,43
0.7387,-0.6569,0.1201,0.0906,15.264658,-78.67717,209.96518,209.1855,-0.414,-0.8295,0.185,-0.048,0.191,-0.105,7.339,18.458,-13.165,26
0.6202,-0.6226,0.2033,-0.4315,9.401319,-93.121704,151.95486,143.36057,0.2304,-0.8598,0.04,-0.425,-0.113,-0.437,5.782,13.175,-29.777,5
0.0543,-0.0251,0.5343,-0.8431,14.20485,-114.57033,181.26033,167.19319,0.3608,-1.0541,0.392,0.361,0.838,-0.381,0.613,-10.637,-24.887,49
0.6356,-0.4586,0.4667,-0.4095,10.146735,-75.47975,201.5583,171.49228,-0.143,-0.8374,0.0922,0.202,-0.194,-0.147,27.749,-24.587,-31.637,32
0.7347,-0.6775,0.016,-0.0299,2.264469,-85.376755,178.19821,177.63918,0.0864,-0.979,0.0571,-0.086,-0.329,0.166,-15.0,2.713,-9.737,14
0.3502,-0.2339,-0.5858,0.6923,52.70258,-91.1729,171.78635,205.50577,-0.1093,-0.9531,0.1147,0.847,0.68,-0.819,3.299,-19.037,22.499,40
0.4744,-0.4494,0.4955,-0.572,4.7285275,-92.780556,175.43907,168.18799,-0.0756,-1.3066,0.1235,-0.059,0.423,0.253,24.599,3.164,20.699,28
0.1638,-0.0937,0.6106,-0.769,21.149755,-100.18694,185.17947,160.4793,-0.2114,-1.2182,0.3144,-0.366,0.354,-0.019,-8.592,11.396,-3.445,45
0.6107,-0.4862,0.4291,-0.4542,9.324302,-82.44988,188.14056,165.92897,-0.1113,-1.2656,0.2036,-0.344,0.524,-0.014,-29.687,-20.387,29.099,32
0.1803,-0.1755,-0.6548,0.7126,30.956528,-94.38972,181.4847,183.36876,0.1586,-0.6889,0.2275,0.454,0.226,-1.911,-1.487,-4.487,1.349,40
0.7097,-0.6783,0.1092,-0.1556,1.80093,-87.91238,173.91797,171.9326,-0.1572,-0.9931,0.0878,0.033,0.553,-0.807,-29.987,-5.687,-22.337,19
0.4605,-0.4475,0.528,-0.5556,2.1899383,-90.94804,178.79263,175.43275,0.0073,-1.0727,0.0737,-0.11,0.454,-0.383,-9.15,16.963,-17.987,28
0.6551,-0.6397,0.1218,-0.3831,5.7426767,-88.687164,147.97517,137.41156,0.1489,-1.0043,0.1279,0.636,0.96,0.447,-30.554,-29.417,-4.946,5
0.4271,-0.3462,0.6286,-0.5499,7.8705993,-81.003784,198.3029,176.58025,-0.2514,-0.8481,-0.0317,0.075,-0.04,-0.351,-31.274,-13.447,30.805,34
0.379,-0.3219,-0.5054,0.705,2.5272393,-98.446205,186.32405,209.34966,0.0278,-0.9838,0.1279,-0.342,-0.239,0.029,31.499,26.863,-24.887,46
0.2151,-0.3551,-0.5743,0.7055,12.920285,-103.49012,206.27966,164.2017,0.0454,-0.6582,0.0322,0.413,1.888,2.027,27.89,-15.537,27.989,12
0.7718,-0.5707,-0.075,0.2699,8.380279,-72.9077,196.36835,210.77885,-0.0922,-0.727,0.1811,0.682,0.746,0.784,-19.316,-0.566,-4.301,15
0.3952,-0.4968,0.4681,-0.6146,14.127434,-104.401306,154.59654,176.84431,-0.1166,-0.875,-0.0712,0.277,0.855,-0.65,-5.85,-26.237,-22.787,2
0.6236,-0.5251,0.2821,-0.5055,38.38276,-86.76556,164.18227,140.73729,0.0815,-0.9443,0.4926,-0.324,0.317,-0.302,10.349,-11.537,-19.337,39
0.0225,-0.0086,-0.5484,0.8358,6.3758802,-113.33551,179.15564,185.35548,0.0693,-1.1376,0.3427,0.139,1.617,-1.047,-13.487,-1.637,-26.987,49
0.7201,-0.6901,0.0328,-0.0622,5.5552773,-87.62649,175.76736,175.11714,0.02,-1.3374,0.0048,0.011,-0.589,0.125,14.699,26.999,-16.637,14
0.76,-0.5591,-0.0445,0.328,8.05971,-70.533875,204.62721,222.3305,-0.1943,-0.8149,0.1323,0.524,-0.316,0.82,30.92,-11.066,4.249,15
0.3295,-0.1145,0.6442,-0.6805,1.6777165,-82.30567,206.45078,147.9324,-0.2666,-0.9663,0.1503,-0.01,-0.01,-0.022,13.848,-30.445,-25.018,35
0.4456,-0.0723,0.7584,-0.4701,13.923012,-52.457096,251.84457,157.39462,-0.6337,-0.9111,-0.0703,3.277,-0.085,-0.968,-29.976,23.73,4.936,13
0.3465,-0.0809,0.6247,-0.695,6.429463,-80.63867,209.7581,139.10223,-0.3676,-1.4531,0.1723,0.435,0.667,-0.705,24.149,-12.437,29.399,33
0.1069,-0.2214,0.5711,-0.7831,21.50841,-108.29518,159.6122,194.42723,0.0971,-0.8457,0.1982,-0.281,0.063,-0.049,14.849,-17.687,26.699,25
0.7038,-0.5058,0.3678,-0.3367,10.869639,-74.35417,196.55481,170.76418,-0.0434,-0.6997,0.061,0.569,-1.479,0.936,-1.084,5.823,-11.724,44
0.3681,-0.2447,0.6065,-0.6608,0.03030752,-87.561745,192.28102,158.66093,-0.1176,-0.9858,0.1503,0.005,0.016,0.002,-11.987,2.563,-15.15,38
0.6343,-0.5352,0.3753,-0.4125,15.946264,-84.24822,183.45831,167.22916,-0.0668,-0.8681,0.186,0.282,-1.086,0.618,3.415,10.923,-11.724,44
0.2387,-0.0553,0.6136,-0.7505,16.313126,-92.03694,199.21077,142.95935,-0.4614,-0.7856,0.0903,0.163,0.525,-0.492,27.749,-9.587,23.399,33
0.7758,-0.6279,0.0593,-0.0143,9.738145,-77.68948,187.03825,184.94502,0.041,-0.8212,0.2666,0.043,0.128,-0.337,3.449,6.613,16.799,37
0.3297,-0.1139,0.6442,-0.6805,1.61927,-82.25654,206.54688,147.83446,-0.2812,-0.9658,0.1455,-0.012,-0.021,-0.028,13.848,-30.445,-25.018,35
0.4226,-0.3545,-0.4305,0.7143,15.202648,-98.602585,191.81775,224.59892,-0.1,-1.2148,0.3427,0.19,-0.457,-0.6,-28.729,18.723,11.25,22
