q0,q1,q2,q3,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.4791,-0.4005,0.5388,-0.5653,0.2924,-1.3115,0.1669,-0.227,0.143,-0.455,-3.3,18.599,-17.687,1
0.348,-0.5043,0.4463,-0.6521,0.2309,-1.1669,0.164,-0.287,0.428,-0.112,8.536,19.349,4.813,2
0.3407,-0.1009,0.6475,-0.674,-0.207,-0.914,0.0913,-0.058,0.647,0.102,12.557,23.546,-20.395,45
0.1499,-0.2079,-0.6106,0.7492,-0.1289,-0.9873,0.1733,-0.002,-0.024,-0.011,-21.587,-1.637,-16.35,41
0.4534,-0.5274,-0.3713,0.615,-0.1503,-1.2509,0.2812,0.211,0.205,-0.724,11.721,22.5,-20.014,23
0.4204,-0.1209,0.6148,-0.6561,-0.3041,-1.1005,0.1572,0.255,0.746,-0.294,-1.35,-20.987,-7.187,33
0.1089,-0.0913,-0.5598,0.8162,-0.0185,-0.8549,0.5014,-0.236,1.113,-1.243,-25.337,23.263,-23.987,49
0.444,-0.3506,0.4208,-0.709,0.1079,-0.9868,0.4291,-0.176,0.286,-0.308,-0.15,4.813,-6.587,43
0.5592,-0.4079,0.5533,-0.4633,0.0014,-0.5957,-0.0288,-0.031,-0.195,1.011,0.812,-29.947,-18.681,34
0.4706,-0.3617,0.5451,-0.5919,-0.2099,-1.0043,0.1469,0.33,0.048,-0.216,4.199,-18.437,-2.4,42
0.5121,-0.3985,0.4487,-0.6143,0.0566,-0.6674,0.2089,-0.267,1.109,-1.193,-18.75,22.949,8.399,47
0.4289,-0.0824,0.7931,-0.4244,-0.2124,-1.0463,-0.3315,-0.302,-1.025,0.574,13.079,-0.923,-9.057,13
0.1831,-0.1456,0.6645,-0.7096,-0.0893,-1.6293,0.0405,-0.348,-0.571,0.296,3.299,31.649,20.999,38
0.5252,-0.5081,-0.429,0.5308,0.0043,-1.0019,0.0253,0.23,-0.017,0.431,3.05,-24.933,-20.172,23
0.4769,-0.3971,0.4987,-0.6049,0.0693,-1.1469,0.3203,0.365,0.792,-0.579,-6.75,-30.737,2.549,42
0.6516,-0.4696,0.4675,-0.3689,-0.1479,-1.1074,0.0776,-0.915,-0.198,0.039,11.965,-7.976,0.575,44
0.8104,-0.5285,-0.0172,0.2521,-0.0419,-0.8583,0.2626,-0.15,0.779,-0.083,-23.1,-8.687,-27.887,6
0.5675,-0.4144,0.4584,-0.544,-0.0888,-0.9819,0.2246,-0.049,-0.043,0,-4.05,-22.187,-9.9,47
0.5569,-0.4476,0.369,-0.5942,0.2192,-1.1396,0.3681,0.238,-1.067,-0.284,-7.589,-26.201,-26.172,4
0.2583,-0.1064,0.639,-0.7166,0.0561,-1.0844,-0.0356,-0.163,-2.093,1.118,-7.957,22.204,-21.319,45
0.4211,-0.4912,0.4687,-0.6013,0.2373,-0.9531,0.143,0.014,0.185,0.369,-11.85,-7.037,29.849,1
0.3065,-0.1135,0.6282,-0.7059,0.1406,-0.8481,0.1445,0.166,-0.615,1.062,-12.607,26.104,-16.669,45
0.0528,-0.1001,0.6341,-0.7649,0.2402,-0.7099,0.3779,-1.665,0.493,-0.348,-19.2,28.799,-1.487,10
0.3728,-0.3578,-0.613,0.5975,0.0449,-1.1816,-0.0043,-0.579,-1.169,0.719,-16.343,-7.548,-16.74,12
0.6968,-0.5788,0.3046,-0.2941,0.1,-1.0205,0.0629,0.156,-0.076,0.08,22.949,31.799,-22.937,8
0.1955,-0.2069,-0.6053,0.7433,0.2348,-0.8901,0.1474,0.309,-1.987,1.564,28.049,-1.187,1.949,41
0.7601,-0.5934,-0.1035,0.2434,-0.3754,-1.1005,0.0688,0.35,-1.33,0.886,-18.266,-16.616,8.449,15
