q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accZ,0
0.7654,-0.6414,-0.0507,0.0101,7.543658,-79.68746,173.68411,175.17534,-0.0566,0.3378,51
0.7643,-0.6425,-0.0524,0.0105,7.541653,-79.8482,173.47534,174.99664,-0.0288,0.3388,51
0.7631,-0.6438,-0.0539,0.0108,7.5859017,-80.0345,173.28336,174.8226,-0.0112,0.3276,51
0.7604,-0.6468,-0.0561,0.0112,7.6165247,-80.47021,172.99173,174.53058,0.0156,0.2934,51
0.7589,-0.6485,-0.0565,0.0114,7.664724,-80.72483,172.95012,174.46613,0.0161,0.269,51
0.7574,-0.6503,-0.0566,0.0115,7.7109213,-80.99089,172.94109,174.42303,0.0146,0.2333,51
0.7558,-0.6522,-0.0564,0.0117,7.7537994,-81.277794,172.99004,174.43031,0.0141,0.2075,51
0.7542,-0.6541,-0.056,0.012,7.768022,-81.56828,173.0829,174.47876,0.0029,0.1801,51
0.7527,-0.6558,-0.0557,0.0126,7.694556,-81.8358,173.20137,174.56396,0.0039,0.1533,51
0.75,-0.6588,-0.0557,0.0149,7.6194882,-82.31728,173.49893,174.8331,0.0395,0.1254,51
0.7489,-0.6599,-0.0562,0.0164,7.53663,-82.502235,173.6215,174.96365,0.062,0.1289,51
0.7481,-0.6607,-0.0571,0.0179,7.4357724,-82.63418,173.68515,175.04924,0.0942,0.1323,51
0.7477,-0.6611,-0.0583,0.0194,7.3488607,-82.6983,173.70445,175.10585,0.1196,0.1411,51
0.7475,-0.6611,-0.0596,0.0206,7.237733,-82.70909,173.66756,175.11143,0.1362,0.1396,51
0.7477,-0.6608,-0.0608,0.0218,7.1280203,-82.66554,173.64653,175.14096,0.1367,0.1386,51
0.748,-0.6603,-0.0616,0.0228,6.988461,-82.60047,173.6588,175.19778,0.1259,0.1313,51
0.7484,-0.6598,-0.0617,0.0239,6.8452,-82.53772,173.79143,175.36472,0.0834,0.1225,51
0.7487,-0.6595,-0.0612,0.025,6.6759133,-82.5067,174.01569,175.60693,0.0297,0.0971,51
0.7488,-0.6594,-0.0602,0.0264,6.49289,-82.51599,174.35669,175.9552,-0.0302,0.0664,51
0.749,-0.6592,-0.0593,0.0279,6.327989,-82.50798,174.69542,176.30818,-0.083,0.0439,51
0.7494,-0.6588,-0.059,0.0292,6.144492,-82.45881,174.9145,176.55634,-0.104,0.0312,51
