q0,q1,q2,q3,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.3115,-0.5459,0.4554,-0.6304,0.5151,-0.9975,-0.1303,1.103,-1.408,1.824,-23.55,30.149,-15.437,1
0.3453,-0.5367,0.4561,-0.6201,0.5205,-0.9492,0.0024,1.161,-0.706,2.081,-23.55,30.149,-15.437,1
0.3548,-0.5311,0.4573,-0.6187,0.4731,-0.8979,0.0434,1.164,-0.247,2.052,-23.55,30.149,-15.437,1
0.3698,-0.5159,0.4622,-0.6191,0.392,-0.7709,0.0883,1.053,0.697,1.922,-23.55,30.149,-15.437,1
0.4492,-0.4008,0.542,-0.5862,0.1289,-1.1132,-0.0493,-0.121,0.517,1.349,-27.75,32.249,-11.687,1
0.4507,-0.3961,0.5465,-0.584,0.1386,-1.1684,-0.0517,-0.237,0.637,1.285,-27.75,32.249,-11.687,1
0.4507,-0.3826,0.5609,-0.5794,0.0634,-1.2993,-0.0458,-0.153,0.562,0.398,-14.85,-23.087,-20.387,1
0.449,-0.3822,0.5602,-0.5816,-0.0112,-1.2348,0.0312,0.172,-0.077,-0.405,-14.85,-23.087,-20.387,1
0.4482,-0.3836,0.5585,-0.5829,0.0361,-1.2036,0.0815,0.157,-0.132,-0.524,-14.85,-23.087,-20.387,1
0.4451,-0.3885,0.5539,-0.5865,0.1958,-1.2177,0.1962,0.06,0.152,-0.426,-14.85,-23.087,-20.387,1
0.4102,-0.3889,0.5597,-0.6058,0.1943,-0.9995,0.0976,-0.755,1.177,-1.189,-14.85,-23.087,-20.387,1
0.3967,-0.3985,0.5598,-0.6084,0.184,-1.1162,0.187,-0.365,-0.175,-0.9,-14.85,-23.087,-20.387,1
0.394,-0.4018,0.5588,-0.609,0.1704,-1.1333,0.2309,-0.299,-0.148,-0.849,-14.85,-23.087,-20.387,1
0.3907,-0.4045,0.5581,-0.61,0.125,-1.0952,0.2124,-0.286,0.078,-0.862,-14.85,-23.087,-20.387,1
