q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.7719,-0.6313,-0.0495,0.0553,2.640407,-78.63003,179.36893,182.19026,-0.1582,-1.0327,0.2729,-0.325,0.127,-0.196,19.199,1.363,-2.55,51
0.7713,-0.6321,-0.0499,0.0542,2.997428,-78.73884,179.18959,181.96838,-0.1513,-1.0092,0.2719,-0.25,0.066,-0.294,19.199,1.363,-2.55,51
0.7708,-0.6328,-0.0517,0.0509,3.2462468,-78.816376,178.53278,181.25145,-0.0825,-0.9389,0.2929,-0.115,0.08,-0.439,19.199,1.363,-2.55,51
0.7709,-0.6328,-0.0526,0.0488,3.8436964,-78.79474,178.14326,180.83192,-0.0581,-0.8994,0.2944,-0.071,0.127,-0.483,19.199,1.363,-2.55,51
0.7715,-0.6323,-0.054,0.0438,4.6565657,-78.67136,177.32031,179.93246,-0.0498,-0.8676,0.3178,0.017,0.23,-0.521,19.199,1.363,-2.55,51
0.7724,-0.6317,-0.0542,0.0367,4.8780947,-78.50531,176.42117,178.87407,-0.0771,-0.8715,0.3217,-0.066,0.31,-0.367,19.199,1.363,-2.55,51
0.772,-0.6325,-0.0533,0.0326,5.296354,-78.58226,176.06157,178.36493,-0.083,-0.9062,0.3281,-0.195,0.328,-0.289,19.199,1.363,-2.55,51
0.7716,-0.633,-0.0526,0.0305,5.525641,-78.64534,175.91237,178.12994,-0.0756,-0.9296,0.33,-0.212,0.365,-0.279,19.199,1.363,-2.55,51
0.7713,-0.6336,-0.0517,0.0283,5.7925067,-78.710846,175.78043,177.90442,-0.0859,-0.9355,0.3461,-0.222,0.416,-0.277,19.199,1.363,-2.55,51
0.7706,-0.6351,-0.048,0.0203,6.719066,-78.86484,175.35585,177.14764,-0.0874,-0.9497,0.3618,-0.185,0.567,-0.324,19.199,1.363,-2.55,51
0.7704,-0.6355,-0.0468,0.0175,7.005158,-78.90409,175.19135,176.87308,-0.1054,-0.9423,0.3706,-0.183,0.546,-0.32,19.199,1.363,-2.55,51
0.7702,-0.6359,-0.0457,0.015,7.245883,-78.94486,175.04822,176.63084,-0.1152,-0.9291,0.3784,-0.184,0.485,-0.311,19.199,1.363,-2.55,51
0.7699,-0.6363,-0.0449,0.0129,7.427565,-78.99335,174.90874,176.4102,-0.1259,-0.9331,0.3833,-0.209,0.385,-0.295,19.199,0.463,-1.35,51
0.7695,-0.6369,-0.0445,0.0113,7.5504966,-79.06686,174.77074,176.21194,-0.1323,-0.9321,0.3715,-0.229,0.257,-0.268,19.199,0.463,-1.35,51
0.769,-0.6375,-0.0445,0.0102,7.6142235,-79.14764,174.63379,176.03761,-0.1333,-0.9404,0.352,-0.253,0.116,-0.239,19.199,0.463,-1.35,51
0.7683,-0.6383,-0.045,0.0096,7.64419,-79.259476,174.48296,175.87172,-0.1225,-0.9428,0.3452,-0.276,-0.022,-0.223,19.199,0.463,-1.35,51
0.7676,-0.6391,-0.046,0.0093,7.6312604,-79.368484,174.29436,175.68834,-0.1137,-0.9614,0.3413,-0.281,-0.148,-0.226,19.199,0.463,-1.35,51
0.7654,-0.6414,-0.0507,0.0101,7.543658,-79.68746,173.68411,175.17534,-0.0566,-1.0351,0.3378,-0.289,-0.336,-0.197,19.199,0.463,-1.35,51
0.7643,-0.6425,-0.0524,0.0105,7.541653,-79.8482,173.47534,174.99664,-0.0288,-1.0698,0.3388,-0.323,-0.332,-0.155,19.199,0.463,-1.35,51
