q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.1396,-0.2446,0.562,-0.7776,21.540707,-108.91896,159.69899,189.85568,0.1015,-1.2241,0.4492,0.403,1.843,-0.557,14.699,-13.337,27.599,25
0.0918,-0.2953,-0.6393,0.7039,57.383934,-95.25804,212.98143,146.84671,-0.6845,-1.2377,-0.1445,-1.53,-1.652,-0.683,-30.887,-21.137,-20.387,29
0.7138,-0.5422,0.2908,-0.3343,9.844822,-77.85192,184.85095,164.48077,0.0234,-1.0952,0.2558,-0.094,-0.661,0.255,26.399,-15.587,19.499,8
0.6253,-0.5229,0.3265,-0.4783,11.604895,-86.46626,171.52103,151.07224,0.0039,-1.145,0.2861,-0.104,-0.139,0.168,1.649,-21.137,-26.237,21
0.7621,-0.6043,0.082,-0.2172,33.630035,-77.233376,167.50223,157.66695,-0.3115,-1.0971,0.2202,0.005,1.46,-0.86,-19.187,-22.487,5.549,37
0.6241,-0.4688,0.4507,-0.4329,25.508749,-78.627014,195.46591,168.65126,-0.184,-0.8291,0.1372,-0.115,0.163,-0.567,-28.084,-3.476,16.325,44
0.7233,-0.6688,0.0892,0.1462,7.566317,-80.47325,213.1929,214.5957,-0.208,-1.1909,-0.1157,-0.226,-1.421,0.676,-0.91,-28.178,-30.415,26
0.5208,-0.4546,-0.4251,0.5841,26.413692,-92.37423,188.24506,207.5859,-0.2685,-0.8496,0.3051,-0.032,0.269,-0.055,16.649,15.164,-2.987,46
0.5606,-0.4129,0.4208,-0.5813,14.181648,-85.57398,179.2764,145.59323,-0.1132,-0.8906,0.4013,0.118,0.698,-0.393,9.016,26.745,-14.342,4
0.6434,-0.3262,0.6205,-0.3072,24.732265,-53.24428,240.93112,180.68192,-0.6831,-1.1528,0.1396,-0.215,-0.19,0.062,7.349,7.499,31.649,48
0.2252,-0.1202,-0.6028,0.7558,5.6738973,-97.208374,171.74106,206.5645,0.1889,-0.6616,0.2329,0.333,0.672,0.228,-9.407,-21.699,-23.157,18
0.4791,-0.4005,0.5388,-0.5653,12.483834,-87.04535,186.61569,167.91101,0.2924,-1.3115,0.1669,-0.227,0.143,-0.455,-3.3,18.599,-17.687,1
0.348,-0.5043,0.4463,-0.6521,20.503363,-111.05727,144.75562,179.33394,0.2309,-1.1669,0.164,-0.287,0.428,-0.112,8.536,19.349,4.813,2
0.3407,-0.1009,0.6475,-0.674,9.967705,-80.1097,209.95709,145.87643,-0.207,-0.914,0.0913,-0.058,0.647,0.102,12.557,23.546,-20.395,45
0.1499,-0.2079,-0.6106,0.7492,0.6383909,-102.0153,192.5575,175.75844,-0.1289,-0.9873,0.1733,-0.002,-0.024,-0.011,-21.587,-1.637,-16.35,41
0.4534,-0.5274,-0.3713,0.615,14.023957,-105.83435,209.92229,207.17845,-0.1503,-1.2509,0.2812,0.211,0.205,-0.724,11.721,22.5,-20.014,23
0.4204,-0.1209,0.6148,-0.6561,10.429552,-75.1633,212.87462,140.07384,-0.3041,-1.1005,0.1572,0.255,0.746,-0.294,-1.35,-20.987,-7.187,33
0.1089,-0.0913,-0.5598,0.8162,13.17041,-109.912964,182.29085,193.24986,-0.0185,-0.8549,0.5014,-0.236,1.113,-1.243,-25.337,23.263,-23.987,49
0.444,-0.3506,0.4208,-0.709,10.191124,-95.84775,169.91644,131.83269,0.1079,-0.9868,0.4291,-0.176,0.286,-0.308,-0.15,4.813,-6.587,43
0.5592,-0.4079,0.5533,-0.4633,14.126652,-76.02793,205.72682,173.82385,0.0014,-0.5957,-0.0288,-0.031,-0.195,1.011,0.812,-29.947,-18.681,34
0.4706,-0.3617,0.5451,-0.5919,3.2936304,-86.38886,188.48824,162.16223,-0.2099,-1.0043,0.1469,0.33,0.048,-0.216,4.199,-18.437,-2.4,42
0.5121,-0.3985,0.4487,-0.6143,11.087411,-89.601944,177.30966,147.35074,0.0566,-0.6674,0.2089,-0.267,1.109,-1.193,-18.75,22.949,8.399,47
0.4289,-0.0824,0.7931,-0.4244,18.019417,-48.728027,259.94427,163.66574,-0.2124,-1.0463,-0.3315,-0.302,-1.025,0.574,13.079,-0.923,-9.057,13
0.1831,-0.1456,0.6645,-0.7096,25.24303,-92.580345,183.91426,172.01073,-0.0893,-1.6293,0.0405,-0.348,-0.571,0.296,3.299,31.649,20.999,38
0.5252,-0.5081,-0.429,0.5308,3.856959,-93.66795,189.1033,195.06305,0.0043,-1.0019,0.0253,0.23,-0.017,0.431,3.05,-24.933,-20.172,23
0.4769,-0.3971,0.4987,-0.6049,9.694759,-90.750656,179.54117,158.48932,0.0693,-1.1469,0.3203,0.365,0.792,-0.579,-6.75,-30.737,2.549,42
0.6516,-0.4696,0.4675,-0.3689,21.387741,-73.264755,206.37746,176.28862,-0.1479,-1.1074,0.0776,-0.915,-0.198,0.039,11.965,-7.976,0.575,44
0.8104,-0.5285,-0.0172,0.2521,19.800917,-64.518936,198.80783,213.094,-0.0419,-0.8583,0.2626,-0.15,0.779,-0.083,-23.1,-8.687,-27.887,6
0.5675,-0.4144,0.4584,-0.544,1.3651409,-83.24962,186.42906,154.84077,-0.0888,-0.9819,0.2246,-0.049,-0.043,0,-4.05,-22.187,-9.9,47
0.5569,-0.4476,0.369,-0.5942,13.379641,-89.083664,169.581,139.2522,0.2192,-1.1396,0.3681,0.238,-1.067,-0.284,-7.589,-26.201,-26.172,4
0.2583,-0.1064,0.639,-0.7166,9.364342,-89.54484,197.40369,152.30283,0.0561,-1.0844,-0.0356,-0.163,-2.093,1.118,-7.957,22.204,-21.319,45
0.4211,-0.4912,0.4687,-0.6013,2.91735,-101.72445,159.38834,173.37387,0.2373,-0.9531,0.143,0.014,0.185,0.369,-11.85,-7.037,29.849,1
0.3065,-0.1135,0.6282,-0.7059,6.8660913,-86.35636,201.497,146.92792,0.1406,-0.8481,0.1445,0.166,-0.615,1.062,-12.607,26.104,-16.669,45
0.0528,-0.1001,0.6341,-0.7649,20.0607,-100.81249,171.61623,186.52722,0.2402,-0.7099,0.3779,-1.665,0.493,-0.348,-19.2,28.799,-1.487,10
0.3728,-0.3578,-0.613,0.5975,12.842818,-88.29384,176.5953,180.76059,0.0449,-1.1816,-0.0043,-0.579,-1.169,0.719,-16.343,-7.548,-16.74,12
0.6968,-0.5788,0.3046,-0.2941,5.850013,-80.812225,188.40265,174.33235,0.1,-1.0205,0.0629,0.156,-0.076,0.08,22.949,31.799,-22.937,8
0.1955,-0.2069,-0.6053,0.7433,4.7101884,-100.87799,186.86913,185.68192,0.2348,-0.8901,0.1474,0.309,-1.987,1.564,28.049,-1.187,1.949,41
0.7601,-0.5934,-0.1035,0.2434,8.587366,-76.75885,191.78862,203.72215,-0.3754,-1.1005,0.0688,0.35,-1.33,0.886,-18.266,-16.616,8.449,15
0.8076,-0.5317,-0.0308,0.2529,19.80266,-65.50318,197.40039,212.0929,0.0327,-0.8579,0.208,0.66,-0.123,0.333,28.786,-15.887,-7.487,6
0.6366,-0.4816,0.461,-0.3874,21.817802,-76.244995,201.79193,175.43915,-0.0102,-1.1196,0.0527,-0.086,0.273,-0.614,-5.284,10.473,-6.924,44
0.4626,-0.1004,0.7745,-0.4194,15.110989,-48.608486,258.07895,163.7411,-0.5498,-0.9497,-0.2207,1.068,0.966,-0.266,26.279,1.627,9.092,13
0.4957,-0.4001,-0.5742,0.5141,8.702039,-81.183784,162.40337,184.99571,-0.0703,-0.5927,-0.0092,0.111,0.249,0.29,-32.535,26.217,21.369,16
0.0074,0.0431,0.5453,-0.837,10.843287,-113.52542,186.55309,168.59578,-0.1596,-0.705,0.1787,0.156,-0.578,1.172,21.749,-14.987,12.613,49
0.7598,-0.6357,-0.1355,0.0089,14.238081,-77.72236,160.86957,164.81935,0.0952,-1.437,0.1782,-0.171,0.165,-0.15,19.036,26.099,1.363,6
0.3322,-0.1053,0.6448,-0.6801,0.63049316,-81.51949,207.95287,146.56262,-0.2827,-0.9536,0.1499,-0.004,-0.007,-0.008,14.898,-30.745,-25.318,35
0.5398,-0.4146,-0.4662,0.565,26.126642,-86.17722,176.73439,204.7677,-0.2329,-0.7915,0.3076,-0.071,0.451,-0.097,-22.937,-14.087,-22.037,46
