q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.3399,-0.557,0.44,-0.6168,13.965371,-111.93188,137.27383,193.0763,0.5581,-0.8222,-0.0712,1.075,-1.734,1.339,-28.2,-14.387,-12.137,1
0.3873,-0.5323,0.4461,-0.6061,8.008796,-107.56214,147.69276,180.89189,0.3642,-0.7539,0.0405,0.766,1.069,1.784,-28.2,-14.387,-12.137,1
0.3913,-0.5232,0.4513,-0.6077,6.319012,-106.63564,149.71893,179.46272,0.2973,-0.7319,0.0131,0.662,1.361,1.782,-28.2,-14.387,-12.137,1
0.4417,-0.4294,0.5221,-0.5897,7.663604,-93.37237,175.23083,171.12836,0.2158,-1.1723,-0.1274,-0.321,0.351,1.361,-10.8,-10.037,-23.687,1
0.4442,-0.4254,0.5255,-0.5877,8.253602,-92.69148,176.50014,170.94077,0.1845,-1.1918,-0.1162,-0.049,0.334,1.229,-10.8,-10.037,-23.687,1
0.4465,-0.4214,0.5278,-0.5867,9.40362,-92.13907,177.56073,170.5397,0.1298,-1.1733,-0.0913,0.181,0.368,0.993,-10.8,-10.037,-23.687,1
0.4507,-0.4123,0.5306,-0.5874,9.57715,-91.24041,179.36375,169.16243,0.0781,-1.1542,-0.0551,0.276,0.295,0.363,-10.8,-10.037,-23.687,1
0.451,-0.4107,0.5309,-0.5881,9.659176,-91.152016,179.56255,168.8906,0.0966,-1.1567,-0.0336,0.221,0.252,0.158,14.999,-11.687,-32.237,1
0.4509,-0.4097,0.5308,-0.5889,9.729499,-91.15043,179.597,168.68167,0.1206,-1.1425,0.0039,0.178,0.197,0.024,14.999,-11.687,-32.237,1
0.4485,-0.4082,0.5345,-0.5885,10.116872,-91.003784,179.89484,169.26085,0.2993,-1.2739,0.2236,-0.366,0.528,-0.004,14.999,-11.687,-32.237,1
0.4437,-0.4065,0.5375,-0.5905,9.456567,-91.16707,179.67453,169.76332,0.29,-1.2041,0.2954,-0.389,1.202,-0.317,14.999,-11.687,-32.237,1
0.3865,-0.4342,0.5487,-0.6007,9.219597,-95.66832,169.084,181.54532,0.187,-0.892,0.1381,0.378,-0.509,-1.127,14.249,-16.337,-25.637,1
0.3837,-0.4367,0.545,-0.6041,9.307962,-96.3863,167.80894,181.60129,0.2407,-0.7812,0.0996,0.405,0.013,-1.246,14.249,-16.337,-25.637,1
0.3724,-0.4398,0.5402,-0.6131,13.675769,-97.957886,164.8411,182.46489,0.2543,-0.6376,0.0258,0.066,0.791,-1.513,14.249,-16.337,-25.637,1
0.3207,-0.5078,0.4634,-0.6514,15.36887,-111.117676,141.87389,189.50752,0.4516,-0.9653,0.1372,0.303,-0.08,-1.607,14.249,-16.337,-25.637,1
0.2994,-0.5103,0.4543,-0.6659,18.740788,-113.624374,138.15604,192.51468,0.4008,-1.1123,0.2031,-0.138,1.293,-1.659,2.249,-19.637,-23.687,1
0.2898,-0.509,0.454,-0.6713,19.961588,-114.23561,137.08778,194.35922,0.3413,-1.1884,0.1938,-0.395,1.638,-1.557,2.249,-19.637,-23.687,1
0.2334,-0.5607,0.443,-0.6593,25.318438,-115.28862,122.87606,221.3074,0.6962,-0.9023,-0.0351,0.351,-2.892,-0.009,2.249,-19.637,-23.687,1
0.2524,-0.5819,0.4287,-0.6432,24.44165,-116.33259,121.73586,218.78436,0.6298,-0.7597,-0.0268,0.634,-2.25,0.054,-3.75,-26.087,-18.137,1
0.2597,-0.587,0.4245,-0.6384,23.936735,-116.64264,121.7784,217.21973,0.5903,-0.7998,-0.0063,0.726,-2.145,0.311,-3.75,-26.087,-18.137,1
0.2681,-0.5907,0.4212,-0.6337,23.309137,-116.83072,122.19209,215.12872,0.5751,-0.8334,-0.0161,0.839,-1.982,0.631,-3.75,-26.087,-18.137,1
0.2875,-0.5947,0.4165,-0.6245,21.7857,-116.83138,123.937546,209.79929,0.5361,-0.8374,-0.1162,1.049,-1.75,1.218,-3.75,-26.087,-18.137,1
0.2985,-0.5957,0.4146,-0.6196,20.987877,-116.640686,125.17052,206.73715,0.5317,-0.8305,-0.1625,1.143,-1.796,1.418,-3.75,-26.087,-18.137,1
